Proteina,T-statistic,p-value,log2FC
LPU83_0321,-0.3693369812618621,0.7305973818922664,0.07103609095354457
LPU83_0326,-3.0205829773132793,0.03914080924669942,0.1341965228425721
xseA,0.3353488792978754,0.7542121232807713,-0.04554400076677467
LPU83_0702,0.04550706960351073,0.9658844148423429,-0.023662341838535994
ampS,1.6982065567123137,0.16470074632620169,-0.12515864031790613
LPU83_0341,-0.7678134105105527,0.48541485132734385,0.051480455451621054
fadJ,1.8073439388482953,0.1449944031168867,-0.047710376312252833
LPU83_0346,0.34500542595454475,0.7474681358113784,-0.12236450624620865
LPU83_0712,0.3609876796055606,0.7363664605275497,-0.026968282683839107
LPU83_0366,-1.1518864664879407,0.3135297007029732,0.1363037084111518
LPU83_0722,1.4089150012427567,0.2316462367502968,-0.11339162705316497
LPU83_0371,-0.04520757115925006,0.9661087501120135,0.0023002700487424477
pcrA,-1.9518674127818834,0.12269393716359432,0.1887706478822011
LPU83_0732,-0.9510043928030112,0.3954545079739564,0.32724383352003983
pmtA,1.945670149505194,0.12356992078976971,-0.05480350504899434
gshB,1.4110469105308643,0.23106310433888283,-0.08593829408161469
LPU83_0401,2.1918486709517593,0.09349894936505096,-0.26710999632896204
LPU83_0406,0.15040953175544716,0.8877213876600254,-0.029036540592471738
LPU83_0411,1.7016576156050391,0.16403600566164064,-0.16774679725815744
LPU83_0416,0.25375753390494776,0.812192578168103,-0.03104503947946924
LPU83_0738,-0.8729419410947371,0.4319658653334891,0.08538392725976962
LPU83_0421,-0.6855821260947931,0.5306458242223686,0.1486405477900874
LPU83_0431,1.3537447358619472,0.24725471566750887,-0.25475682549766177
maf3,-0.055178094260328076,0.9586426577873906,0.0025804773305289075
ubiE,1.2239339942742804,0.2881385799055151,-0.10074316634850078
LPU83_0441,-0.33482020697149256,0.7545821138757085,0.03477776861128845
pssK,0.9396450430236059,0.40060069536172493,-0.22243440069106057
rph,0.2555972816238149,0.8108671526998046,-0.015562797638764891
LPU83_0759,1.5285914113248087,0.20109275363720838,-0.3268778389256646
LPU83_0764,-0.7566405281214362,0.49138489961804005,0.39677255677464984
hsp,-0.34215387721870294,0.7494568100871416,0.060700421241289604
lnt,-0.3809835479954997,0.7225859410808491,0.10309370987022604
LPU83_0769,0.03594285516145614,0.9730501115089096,-0.010106115025617868
cheA,-0.20634169157109714,0.8466012791567787,0.025706149539885814
olsA,-1.0331249407348377,0.3599140646522313,0.22298070470540488
cheD,-0.31399079565372756,0.7692218852687404,0.1259443085008094
LPU83_0471,1.5309113341290075,0.20054265837580496,-0.10973702530736062
luxR3,2.948827376231958,0.04201833218172485,-0.22947042066467205
mviN,1.7132218807248347,0.16182903172814828,-0.31497213989588957
